"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","should fetch branches from API and display them correctly","Branches - CRUD Operations","","failed","","","Read Branches","",""
"","828","should fetch schools from API and display them correctly","Schools - CRUD Operations","2026-08-07","failed","2026-08-07","","Read Schools","",""
"","30282","should fill contact form and send message","","2026-08-07","failed","2026-08-07","","Website Contact Form","",""
"","855","should fetch hqUsers from API and display them correctly","HqUsers - CRUD Operations","2026-08-07","failed","2026-08-07","","Read HqUsers","",""
"","","should apply filters correctly for Branch","Unit Filters Test Suite","","failed","","","Branch Filters","",""
"","794","should fetch supervisorUsers from API and display them correctly","SupervisorUsers - CRUD Operations","2026-08-07","failed","2026-08-07","","Read SupervisorUsers","",""
"","","should fetch subUnitUsers from API and display them correctly","SubUnitUsers - CRUD Operations","","failed","","","Read SubUnitUsers","",""
"","","should fetch agreements from API and display them correctly","Agreements - CRUD Operations","","failed","","","Read Agreements","",""
"","","should fetch supervisorUsers from API and display them correctly","SupervisorUsers - CRUD Operations","","failed","","","Read SupervisorUsers","",""
"","","should fetch partners from API and display them correctly","Partners - CRUD Operations","","failed","","","Read Partners","",""
"","30283","should load legal page scroll and find privacy policy","","2026-08-07","failed","2026-08-07","","Website Legal Page","",""
"","862","should apply filters correctly for Unit Commissions","Basic Reports Filters Test Suite","2026-08-07","failed","2026-08-07","","Unit Commissions Filters","",""
"","","should fetch documents from API and display them correctly","Documents - CRUD Operations","","failed","","","Read Documents","",""
"","5598","should fetch unitUsers from API and display them correctly","UnitUsers - CRUD Operations","2026-08-07","failed","2026-08-07","","Read UnitUsers","",""
"","","should fetch unitUsers from API and display them correctly","UnitUsers - CRUD Operations","","failed","","","Read UnitUsers","",""
"","","should fetch faqs from API and display them correctly","Faqs - CRUD Operations","","failed","","","Read Faqs","",""
"","2135","should fetch agreements from API and display them correctly","Agreements - CRUD Operations","2026-08-07","failed","2026-08-07","","Read Agreements","",""
"","820","should fetch blogs from API and display them correctly","Blogs - CRUD Operations","2026-08-07","failed","2026-08-07","","Read Blogs","",""
"","810","should fetch partners from API and display them correctly","Partners - CRUD Operations","2026-08-07","failed","2026-08-07","","Read Partners","",""
"","30469","should load about page and scroll to bottom","","2026-08-07","failed","2026-08-07","","Website About Page","",""
"","1110","should fetch partner agents from API and display them correctly","Partner Agents - CRUD Operations","2026-08-07","failed","2026-08-07","","Read Partner Agents","",""
"","","should fetch hqUsers from API and display them correctly","HqUsers - CRUD Operations","","failed","","","Read HqUsers","",""
"","803","should apply filters correctly for Audit Logs","","2026-08-07","broken","2026-08-07","","Audit Logs Test Suite","",""
"","837","should update user profile","","2026-08-07","broken","2026-08-07","","User Settings Profile","",""
"","860","should update social links and verify_success","","2026-08-07","broken","2026-08-07","","Platform Settings - Social Links","",""
"","902","should fetch branches from API and display them correctly","Branches - CRUD Operations","2026-08-07","failed","2026-08-07","","Read Branches","",""
"","918","should fetch designations from API and display them correctly","Designations - CRUD Operations","2026-08-07","failed","2026-08-07","","Read Designations","",""
"","822","should update platform settings and verify success","","2026-08-07","broken","2026-08-07","","Platform Settings Update","",""
"","","should apply filters correctly for Unit Commissions","Basic Reports Filters Test Suite","","failed","","","Unit Commissions Filters","",""
"","0","should reset filters for Audit Logs","","2026-08-07","skipped","2026-08-07","","Audit Logs Test Suite","",""
"","885","should fetch subUnitUsers from API and display them correctly","SubUnitUsers - CRUD Operations","2026-08-07","failed","2026-08-07","","Read SubUnitUsers","",""
"","822","should fill apply notes and verify reset failed","","2026-08-07","broken","2026-08-07","","User Settings Security - Reset Failed Validation","",""
"","","should fetch designations from API and display them correctly","Designations - CRUD Operations","","failed","","","Read Designations","",""
"","803","should add or change new pin and save","","2026-08-07","broken","2026-08-07","","User Settings Pin Lock","",""
"","","should fetch schools from API and display them correctly","Schools - CRUD Operations","","failed","","","Read Schools","",""
"","","should fetch partner agents from API and display them correctly","Partner Agents - CRUD Operations","","failed","","","Read Partner Agents","",""
"","303","passes","","2026-08-07","passed","2026-08-07","","template spec","",""
"","","should fetch blogs from API and display them correctly","Blogs - CRUD Operations","","failed","","","Read Blogs","",""
"","865","should fetch faqs from API and display them correctly","Faqs - CRUD Operations","2026-08-07","failed","2026-08-07","","Read Faqs","",""
"","1029","should apply filters correctly for Branch","Unit Filters Test Suite","2026-08-07","failed","2026-08-07","","Branch Filters","",""
"","829","should fetch documents from API and display them correctly","Documents - CRUD Operations","2026-08-07","failed","2026-08-07","","Read Documents","",""
